,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,2,0,1,0,-1,239.1888647999997,34,35,1,1
1,1,2,1,1,0,-1,97.2095944,34,35,1,1
2,2,0,0,1,0,-1,114.82067199999999,32,35,1,1
3,3,1,1,1,0,-1,97.8623384,33,35,1,1
4,4,2,1,1,0,-1,153.69296719999997,34,35,1,1
5,5,3,32,0,0,4,108.6139328,35,34,1,1
6,6,2,1,1,0,-1,197.4944248,34,35,1,1
7,7,3,32,0,0,-1,125.70409400000001,35,34,1,1
8,8,0,1,1,0,-1,119.06184,32,35,1,1
9,9,1,2,1,0,-1,122.30142959999999,33,35,1,1
10,10,2,15,1,0,4,172.5209064,34,35,1,1
11,11,2,1,1,0,-1,209.16708879999996,34,35,1,1
12,12,2,1,1,0,-1,189.10282799999973,34,35,1,1
13,13,3,21,0,0,3,153.2829172,35,33,1,1
14,14,0,2,1,0,0,204.2567191999997,32,35,1,1
15,15,1,2,1,0,2,175.9586543999997,33,35,1,1
16,16,2,2,1,0,13,168.08903039999998,34,35,1,1
17,17,3,0,0,0,-1,267.3279136,35,34,1,1
18,18,2,1,1,0,25,205.393072,34,35,1,1
19,19,3,24,0,0,9,298.85294680000004,35,33,1,1
20,20,2,2,1,0,-1,212.07063200000002,34,35,1,1
21,21,1,4,1,0,1,156.59272960000098,33,35,1,1
22,22,2,1,1,0,-1,149.62010040000004,34,35,1,1
23,23,3,32,0,0,8,222.1322304,35,34,1,1
24,24,2,1,1,0,15,203.73797119999998,34,35,1,1
25,25,3,15,0,0,3,98.34894959999997,35,34,1,1
26,26,4,3,1,0,1,211.09496319999965,33,35,1,1
27,27,1,4,1,0,0,159.47836959999998,33,35,1,1
28,28,2,1,1,0,3,210.83875840000002,34,35,1,1
29,29,3,21,0,0,3,198.0523152,35,34,1,1
30,30,2,1,1,0,-1,180.90294,34,35,1,1
31,31,3,15,0,0,4,320.9605075999999,35,34,1,1
32,32,4,26,2,14,1,207.41635600000004,33,35,1,1
33,33,1,7,1,0,1,106.1118216,33,35,1,1
34,34,3,30,0,0,3,160.16703119999997,35,34,1,1
35,35,3,5,0,0,1,180.53625800000003,35,34,1,1
36,36,2,1,1,0,0,126.6223279999991,34,35,1,1
37,37,1,7,1,0,4,119.38965759999999,33,35,1,1
38,38,1,7,1,0,-1,130.789825999999,33,35,1,1
39,39,2,4,1,0,3,115.6953156,34,35,1,1
40,40,2,1,1,0,-1,162.2654864,34,35,1,1
41,41,0,0,1,0,23,183.62322560000007,32,35,1,1
42,42,2,1,1,0,-1,292.9588464,34,35,1,1
43,43,2,1,1,0,-1,169.1738976,34,35,1,1
44,44,2,1,1,0,0,236.37283599999998,34,35,1,1
45,45,2,1,1,0,1,148.22926639999997,34,35,1,1
46,46,2,1,1,0,7,125.40057360000002,34,35,1,1
47,47,2,1,1,0,5,360.11486160000004,34,35,1,1
48,48,2,2,1,0,2,116.093244799998,34,35,1,1
49,49,3,24,0,0,10,134.02368879999997,35,33,1,1
50,50,1,3,0,0,3,106.69189640000099,33,34,1,1
51,51,1,1,1,0,7,232.37552959999968,33,35,1,1
52,52,2,2,1,0,4,182.23923039999997,34,35,1,1
53,53,3,5,0,0,0,155.562962,35,34,1,1
54,54,2,2,1,0,3,198.77289119999998,34,35,1,1
55,55,2,7,0,0,7,117.8265748,32,33,1,1
56,56,1,1,1,0,-1,195.69270679999997,33,34,1,1
57,57,1,7,1,0,1,172.7665472,31,35,1,1
58,58,2,26,2,6,3,230.52933159999995,34,35,1,1
59,59,4,4,1,0,3,126.71579159999997,33,35,1,1
60,60,1,26,2,5,9,143.74812879999996,33,35,1,1
61,61,3,5,0,0,-1,78.17182079999999,35,34,1,1
62,62,1,1,0,0,1,178.73253839999967,32,34,1,1
63,63,2,5,1,0,3,146.0755448,34,35,1,1
64,64,2,33,2,2,0,241.4804744,34,35,1,1
65,65,1,1,1,0,-1,170.79430399999995,33,35,1,1
66,66,2,1,1,0,2,190.690208,34,35,1,1
67,67,3,22,0,0,3,89.53012240000001,35,33,1,1
68,68,3,15,0,0,4,136.1876407999997,35,33,1,1
69,69,2,1,1,0,-1,247.44407479999995,34,35,1,1
70,70,2,1,1,0,0,144.4903888,34,35,1,1
71,71,3,5,0,0,4,156.37277600000002,35,34,1,1
72,72,2,7,1,0,1,133.78138400000202,34,35,1,1
73,73,3,5,0,0,-1,277.15054319999996,35,34,1,1
74,74,1,2,1,0,-1,172.6594615999997,33,35,1,1
75,75,2,2,1,0,6,176.13401679999902,34,35,1,1
76,76,4,18,2,16,1,212.54434399999997,33,35,1,1
77,77,3,5,0,0,1,140.443932000001,35,34,1,1
78,78,2,1,1,0,15,154.3816288,34,35,1,1
79,79,2,2,1,0,-1,78.26033600000001,34,35,1,1
80,80,0,1,1,0,1,228.76114039999985,32,35,1,1
81,81,1,18,2,1,10,361.9936968,29,35,1,1
82,82,0,3,1,0,1,313.5113864,-1,35,1,1
83,83,3,5,0,0,0,165.53443280000002,35,34,1,1
84,84,2,18,2,16,3,235.89128440000002,34,35,1,1
85,85,3,14,0,0,8,328.0329388,35,32,1,1
86,86,0,14,0,0,14,182.39324239999993,32,33,1,1
87,87,2,7,1,0,3,167.1356016,34,35,1,1
88,88,2,4,1,0,1,241.68675040000002,34,35,1,1
89,89,2,7,1,0,9,210.22109800000004,34,35,1,1
90,90,2,7,1,0,10,241.35237199999997,34,35,1,1
91,91,4,14,0,0,14,260.2154503999997,33,34,1,1
92,92,3,5,0,0,1,235.65681920000003,35,34,1,1
93,93,2,7,1,0,1,130.0252704,34,35,1,1
94,94,2,7,1,0,2,173.61144480000002,30,35,1,1
95,95,3,5,0,0,1,303.71333200000004,35,34,1,1
96,96,2,26,2,0,9,154.62182080000002,34,35,1,1
97,97,3,22,0,0,9,209.40550160000197,35,34,1,1
98,98,5,0,1,0,8,116.00439600000001,34,35,1,1
99,99,1,33,2,1,4,121.70328479999999,33,35,1,1
100,100,0,1,1,0,3,137.2469319999995,21,34,1,1
101,101,3,32,0,0,2,144.86513280000003,35,34,1,1
102,102,2,10,1,0,2,252.1436648,34,35,1,1
103,103,0,12,1,0,3,196.10119999999998,28,35,1,1
104,104,0,1,1,0,1,252.42388879999996,26,34,1,1
105,105,2,7,1,0,9,153.9058596,34,35,1,1
106,106,0,1,1,0,2,134.3422767999997,-1,34,1,1
107,107,3,32,0,0,4,176.87738879999998,35,34,1,1
108,108,2,11,1,0,2,170.19426880000003,34,35,1,1
109,109,3,32,0,0,2,78.84280160000002,35,34,1,1
110,110,0,2,1,0,4,161.380112,32,35,1,1
111,111,1,13,1,0,2,175.38630799999999,33,35,1,1
112,112,2,26,2,19,0,177.069876,34,35,1,1
113,113,0,2,1,0,0,207.41724559999997,21,35,1,1
114,114,3,32,0,0,2,573.3587648,35,34,1,1
115,115,3,6,0,0,1,132.1937816,35,34,1,1
116,116,0,2,1,0,-1,137.1845488,32,35,1,1
117,117,2,11,1,0,-1,202.10733439999998,34,35,1,1
118,118,2,13,1,0,4,186.85430839999998,34,35,1,1
119,119,3,32,0,0,15,208.92395,35,33,1,1
120,120,2,2,1,0,1,167.12431479999998,34,35,1,1
121,121,4,3,1,0,1,260.86730479999994,34,35,1,1
122,122,1,7,1,0,1,453.20060400000006,33,35,1,1
123,123,1,15,1,0,2,141.4466224,33,35,1,1
124,124,2,7,1,0,3,207.9209816,34,35,1,1
125,125,3,30,0,0,1,182.57561040000002,35,33,1,1
126,126,2,26,2,37,14,273.82455120000003,30,35,1,1
127,127,1,15,1,0,15,195.39608080000002,33,35,1,1
128,128,1,2,1,0,-1,180.6500711999997,33,34,1,1
129,129,2,2,1,0,3,201.9695576,34,35,1,1
130,130,3,0,0,0,9,229.8877632,35,32,1,1
131,131,0,2,1,0,2,191.17782,30,35,1,1
132,132,2,18,2,15,3,137.37292159999998,34,35,1,1
133,133,3,22,0,0,3,566.7701648000001,35,34,1,1
134,134,4,18,2,4,1,245.32982919999998,34,35,1,1
135,135,5,7,1,0,3,137.8686512,34,35,1,1
136,136,0,1,1,0,9,134.12749399999902,21,35,1,1
137,137,1,0,1,0,2,108.98889919999999,33,35,1,1
138,138,2,15,1,0,11,223.90887279999998,34,35,1,1
139,139,0,1,1,0,2,274.15948560000004,28,35,1,1
140,140,1,26,2,11,14,108.2578704,33,34,1,1
141,141,2,3,0,0,3,299.6000439999997,32,34,1,1
142,142,1,26,2,4,8,159.34793200000001,22,35,1,1
143,143,5,3,1,0,13,154.5697792,34,35,1,1
144,144,6,21,0,0,3,332.7721159999999,35,33,1,1
145,145,0,17,1,0,1,181.0505024,21,35,1,1
146,146,0,3,1,0,26,123.03801840000001,32,35,1,1
147,147,2,4,1,0,-1,275.8724103999999,34,35,1,1
148,148,0,2,1,0,9,180.26782120000001,32,35,1,1
149,149,3,32,0,0,-1,224.5240312,35,34,1,1
150,150,9,22,0,0,3,170.4810536,35,30,1,1
151,151,2,4,1,0,1,314.16824479999997,34,35,1,1
152,152,0,2,1,0,1,235.30231359999996,21,35,1,1
153,153,3,32,0,0,-1,120.26557999999997,35,34,1,1
154,154,0,0,1,0,14,364.18555999999995,21,35,1,1
155,155,2,4,1,0,1,248.43792479999996,34,35,1,1
156,156,3,22,0,0,3,200.82353039999896,35,34,1,1
157,157,3,15,0,0,24,157.358564,35,34,1,1
158,158,0,3,0,0,3,153.5165484,32,34,1,1
159,159,3,16,0,0,16,217.38638120000002,35,31,1,1
