,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,3,0,0,0,-1,528.8254999999997,54,53,1,1
1,1,3,0,0,0,-1,182.33263840000006,54,53,1,1
2,2,2,0,1,0,-1,210.08293200000003,53,54,1,1
3,3,2,1,1,0,-1,205.35426320000002,53,54,1,1
4,4,3,27,0,0,-1,327.00011319999993,54,53,1,1
5,5,0,1,1,0,4,238.83380319999995,51,54,1,1
6,6,3,21,0,0,3,420.23569760000004,54,53,1,1
7,7,0,1,1,0,-1,238.61485039999997,51,54,1,1
8,8,2,2,1,0,-1,288.5585512,53,54,1,1
9,9,2,20,1,0,-1,281.8476312,53,54,1,1
10,10,3,27,0,0,0,356.07040639999997,54,53,1,1
11,11,3,27,0,0,3,484.6087103999999,54,53,1,1
12,12,3,15,0,0,0,474.72191839999977,54,53,1,1
13,13,0,1,1,0,3,470.1374203999999,51,54,1,1
14,14,2,1,1,0,3,414.5911855999996,53,54,1,1
15,15,2,0,1,0,3,409.47153759999964,53,54,1,1
16,16,3,30,0,0,13,352.6088615999996,54,53,1,1
17,17,0,3,0,0,3,514.2492371999999,51,52,1,1
18,18,3,30,0,0,25,435.98384159999995,54,53,1,1
19,19,0,3,1,0,3,654.2332460000002,51,54,1,1
20,20,3,30,0,0,7,412.9303024,54,53,1,1
21,21,2,1,1,0,0,321.8682888000009,53,54,1,1
22,22,3,30,0,0,-1,305.73328000000004,54,53,1,1
23,23,0,1,1,0,9,503.0491175999998,51,54,1,1
24,24,3,27,0,0,15,407.39571159999986,54,53,1,1
25,25,0,1,1,0,10,263.6295128,51,54,1,1
26,26,2,20,1,0,1,392.0966487999993,53,54,1,1
27,27,2,0,1,0,0,386.6620824,53,54,1,1
28,28,3,30,0,0,3,455.8946464,54,53,1,1
29,29,0,3,1,0,3,479.0777336,51,54,1,1
30,30,3,30,0,0,-1,380.6957576,54,53,1,1
31,31,0,1,1,0,3,618.5607863999999,51,54,1,1
32,32,1,0,1,0,9,582.2892368,52,54,1,1
33,33,2,20,1,0,2,278.34872320000005,53,54,1,1
34,34,0,1,1,0,1,352.3324184,51,54,1,1
35,35,0,3,1,0,1,402.6620388,51,54,1,1
36,36,3,30,0,0,0,292.8424199999991,54,53,1,1
37,37,2,33,2,2,0,366.5448904,53,54,1,1
38,38,2,26,2,14,3,300.79460999999714,53,54,1,1
39,39,3,30,0,0,3,398.69197639999993,54,53,1,1
40,40,3,30,0,0,-1,312.6045504,54,53,1,1
41,41,1,1,1,0,23,405.60194440000004,52,54,1,1
42,42,3,30,0,0,-1,754.3523328,54,53,1,1
43,43,3,27,0,0,13,391.94897520000006,54,53,1,1
44,44,3,27,0,0,0,657.0901408000001,54,53,1,1
45,45,3,27,0,0,3,348.07290239999986,54,53,1,1
46,46,3,27,0,0,7,282.1408656000001,54,53,1,1
47,47,3,27,0,0,5,888.7658888,54,53,1,1
48,48,3,27,0,0,2,300.575879599999,54,53,1,1
49,49,0,3,1,0,1,263.1221072000001,51,54,1,1
50,50,2,1,1,0,0,271.04438440000007,53,54,1,1
51,51,2,1,1,0,7,392.45660319999956,53,54,1,1
52,52,3,21,0,0,9,451.1558583999999,54,53,1,1
53,53,0,2,1,0,0,312.39755160000016,51,54,1,1
54,54,3,21,0,0,10,370.3275808000001,54,53,1,1
55,55,3,15,0,0,0,433.70396359999995,54,53,1,1
56,56,2,3,1,0,17,477.2442123999999,53,54,1,1
57,57,2,1,1,0,1,373.5896328,53,54,1,1
58,58,3,29,0,0,3,500.0947003999999,54,53,1,1
59,59,1,3,1,0,2,318.28258919999996,52,54,1,1
60,60,2,2,1,0,1,333.2999823999999,53,54,1,1
