,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,1,0,1,0,-1,400.0076391999997,42,44,1,1
1,1,1,1,1,0,-1,137.01919440000003,42,44,1,1
2,2,3,0,0,0,-1,160.18882639999998,44,42,1,1
3,3,0,0,1,0,-1,137.7705728,41,44,1,1
4,4,1,0,1,0,-1,236.02872759999997,42,44,1,1
5,5,2,1,1,0,4,167.44384799999997,43,44,1,1
6,6,1,1,1,0,-1,296.78501600000004,42,44,1,1
7,7,2,2,1,0,-1,180.6919936,43,44,1,1
8,8,3,6,0,0,-1,206.57090240000002,44,43,1,1
9,9,0,1,1,0,-1,172.79668239999998,41,44,1,1
10,10,1,0,0,0,0,256.4999804,42,43,1,1
11,11,1,1,1,0,3,362.06719999999996,39,44,1,1
12,12,1,1,1,0,-1,337.02084559999975,42,44,1,1
13,13,2,1,1,0,3,276.86181239999996,43,44,1,1
14,14,3,6,0,0,0,303.2130431999997,44,43,1,1
15,15,0,1,1,0,2,273.94320159999967,41,44,1,1
16,16,1,1,1,0,13,247.15100719999998,42,44,1,1
17,17,2,1,1,0,3,332.93886039999995,43,44,1,1
18,18,1,1,1,0,25,314.22907119999996,42,44,1,1
19,19,2,1,1,0,5,459.42196600000017,43,44,1,1
20,20,1,1,1,0,-1,306.07711040000004,42,44,1,1
21,21,0,1,1,0,3,228.45806480000095,41,44,1,1
22,22,1,1,1,0,-1,227.0055148,42,44,1,1
23,23,2,2,1,0,9,395.0867055999999,43,44,1,1
24,24,1,1,1,0,15,297.23798919999996,42,44,1,1
25,25,2,0,1,0,10,204.98607999999996,43,44,1,1
26,26,3,30,0,0,1,331.8770671999996,44,43,1,1
27,27,0,1,1,0,0,268.57780159999993,41,43,1,1
28,28,1,1,1,0,3,325.62051040000006,42,44,1,1
29,29,2,1,1,0,3,351.25066480000004,43,44,1,1
30,30,1,2,1,0,-1,268.38842800000003,42,44,1,1
31,31,2,2,1,0,4,476.2255091999999,43,44,1,1
32,32,3,30,0,0,1,389.02330320000004,44,43,1,1
33,33,0,1,1,0,2,216.3669552,41,44,1,1
34,34,2,26,2,5,3,244.20342879999993,43,44,1,1
35,35,2,4,1,0,1,284.63257960000004,43,44,1,1
36,36,1,6,1,0,0,220.5176063999991,42,44,1,1
37,37,0,1,1,0,4,203.06665680000003,41,43,1,1
38,38,0,0,1,0,-1,178.5680179999971,41,43,1,1
39,39,1,1,1,0,3,256.4394876,42,44,1,1
40,40,1,1,1,0,-1,232.70946319999996,42,44,1,1
41,41,3,30,0,0,23,273.8451788000001,44,43,1,1
42,42,1,1,1,0,-1,516.1277944,42,44,1,1
43,43,1,1,1,0,-1,251.33190480000007,42,44,1,1
44,44,1,2,1,0,0,429.0863279999999,42,44,1,1
45,45,1,2,1,0,1,222.04238079999993,42,44,1,1
46,46,1,2,1,0,7,220.27874880000002,42,44,1,1
47,47,1,1,1,0,5,619.2784712000001,42,44,1,1
48,48,1,1,1,0,2,208.19408879999799,42,44,1,1
49,49,2,0,1,0,1,193.4655376,43,44,1,1
50,50,0,2,1,0,3,177.13920920000004,41,43,1,1
51,51,0,4,1,0,7,315.30726639999966,41,43,1,1
52,52,1,2,1,0,3,327.4610927999999,42,44,1,1
53,53,2,7,1,0,0,215.52400360000007,43,44,1,1
54,54,1,1,0,0,1,277.854328,42,43,1,1
55,55,1,1,1,0,7,273.207002,42,44,1,1
56,56,0,1,1,0,-1,347.12886999999995,41,44,1,1
57,57,0,1,1,0,1,224.43529360000002,41,44,1,1
58,58,1,18,2,10,3,365.25708319999995,42,44,1,1
59,59,3,21,0,0,3,209.23675559999998,44,43,1,1
60,60,0,4,1,0,1,241.15499200000002,37,43,1,1
61,61,2,1,1,0,-1,123.84332879999997,43,44,1,1
62,62,0,2,1,0,1,271.5688591999997,41,43,1,1
63,63,1,4,1,0,3,211.2998492,42,44,1,1
64,64,1,18,2,10,1,323.3921736,42,44,1,1
65,65,0,4,1,0,9,298.47036319999995,41,43,1,1
66,66,1,3,1,0,7,340.7413752,39,44,1,1
67,67,2,1,1,0,1,175.4137744,43,44,1,1
