,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,0,0,1,0,-1,509.53986159999965,50,53,1,1
1,1,0,0,1,0,-1,174.09994640000005,50,53,1,1
2,2,3,0,0,0,-1,208.66246320000002,53,52,1,1
3,3,3,20,0,0,-1,192.20653120000003,53,52,1,1
4,4,0,1,1,0,-1,316.67652759999993,50,53,1,1
5,5,1,1,1,0,4,232.09463839999995,51,53,1,1
6,6,0,3,1,0,3,405.1679864,50,53,1,1
7,7,1,1,1,0,-1,230.36381039999998,51,53,1,1
8,8,3,20,0,0,-1,276.1611968,53,52,1,1
9,9,3,23,0,0,-1,265.312636,53,52,1,1
10,10,0,1,1,0,0,345.74682079999997,50,53,1,1
11,11,0,1,1,0,3,465.0377327999999,50,53,1,1
12,12,0,1,1,0,0,452.2480647999998,50,53,1,1
13,13,1,2,1,0,3,451.8946155999999,51,53,1,1
14,14,3,0,0,0,3,397.3058127999996,53,52,1,1
15,15,3,21,0,0,3,381.43290239999965,53,52,1,1
16,16,0,1,1,0,13,348.50558159999963,50,53,1,1
17,17,1,26,2,2,3,514.2492371999999,51,52,1,1
18,18,0,1,1,0,25,423.45160159999995,50,53,1,1
19,19,1,3,0,0,3,647.5501260000002,51,52,1,1
20,20,0,1,1,0,7,400.3980624,50,53,1,1
21,21,3,0,0,0,0,318.7689224000009,53,51,1,1
22,22,0,1,1,0,-1,297.40484480000003,50,53,1,1
23,23,1,2,1,0,9,493.2532871999998,51,53,1,1
24,24,0,2,1,0,15,397.07212599999986,50,53,1,1
25,25,1,4,1,0,10,256.38016239999996,51,53,1,1
26,26,3,23,0,0,1,390.04500879999927,53,51,1,1
27,27,3,21,0,0,0,367.5573664,53,52,1,1
28,28,0,1,1,0,3,443.3624064,50,53,1,1
29,29,1,3,0,0,3,449.2154184,51,52,1,1
30,30,0,1,1,0,-1,363.2446968,50,53,1,1
31,31,1,2,1,0,3,600.2449231999999,51,53,1,1
32,32,2,0,1,0,9,560.9271608,52,53,1,1
33,33,3,23,0,0,2,274.21108240000007,53,52,1,1
34,34,1,5,1,0,1,344.0813784,51,53,1,1
35,35,1,3,1,0,1,378.82087,51,53,1,1
36,36,0,1,1,0,0,288.7611575999991,50,53,1,1
37,37,3,30,0,0,4,351.2312048,53,52,1,1
38,38,3,14,0,0,14,263.0717891999971,53,50,1,1
39,39,0,1,1,0,3,381.24091559999994,50,53,1,1
40,40,0,1,1,0,-1,308.5012704,50,53,1,1
41,41,2,2,1,0,23,395.7743108,52,53,1,1
42,42,0,1,1,0,-1,730.5446352,50,53,1,1
43,43,0,2,1,0,13,373.93546480000003,50,53,1,1
44,44,0,2,1,0,0,638.0135584000001,50,53,1,1
45,45,0,1,1,0,3,339.1108495999999,50,53,1,1
46,46,0,2,1,0,7,273.8175456000001,50,53,1,1
47,47,0,2,1,0,5,866.1859504,50,53,1,1
48,48,0,2,1,0,2,291.55678119999897,50,53,1,1
49,49,1,3,1,0,1,251.54040480000006,51,53,1,1
50,50,3,27,0,0,0,263.7720156000001,53,52,1,1
51,51,3,30,0,0,7,384.5388295999996,53,52,1,1
52,52,0,3,1,0,9,427.0811695999999,50,53,1,1
53,53,1,7,1,0,0,299.24981960000014,51,53,1,1
54,54,0,3,1,0,10,350.3905328000001,50,53,1,1
55,55,0,4,1,0,0,411.21910119999995,50,53,1,1
56,56,3,17,0,0,17,439.98620759999994,53,50,1,1
57,57,3,30,0,0,1,360.2762128,53,52,1,1
58,58,0,7,1,0,3,485.8838963999999,50,53,1,1
59,59,2,7,1,0,2,312.30825799999997,52,53,1,1
60,60,3,27,0,0,1,320.4233559999999,53,52,1,1
61,61,1,33,2,1,4,169.04824159999993,51,53,1,1
62,62,3,27,0,0,1,355.74403439999963,53,52,1,1
63,63,1,16,1,0,16,296.2016052,50,53,1,1
64,64,0,4,1,0,1,434.354984,50,53,1,1
65,65,3,30,0,0,9,378.3166335999998,53,52,1,1
66,66,0,3,0,0,3,441.0578975999999,50,52,1,1
67,67,1,6,1,0,1,199.6235712,51,53,1,1
68,68,1,1,0,0,1,327.78323919999974,51,52,1,1
69,69,1,1,1,0,-1,556.7063423999999,51,53,1,1
70,70,1,7,1,0,0,274.2863648,51,53,1,1
71,71,1,3,1,0,3,330.89383680000003,51,53,1,1
72,72,0,4,1,0,1,276.162308800006,50,53,1,1
73,73,1,26,2,13,8,503.26506799999987,51,52,1,1
74,74,3,30,0,0,2,370.3328071999996,53,52,1,1
75,75,0,4,1,0,6,343.6629327999991,50,53,1,1
76,76,2,1,1,0,1,357.76731839999985,52,53,1,1
77,77,1,6,1,0,2,295.18707200000097,51,53,1,1
78,78,0,11,1,0,2,330.95655360000006,50,53,1,1
79,79,0,13,1,0,-1,288.17202000000003,50,53,1,1
80,80,3,30,0,0,31,488.6276451999998,53,52,1,1
81,81,1,4,1,0,1,858.4760096000001,51,53,1,1
82,82,0,1,1,0,1,595.5649600000002,50,53,1,1
83,83,1,3,1,0,0,474.2264111999999,51,53,1,1
84,84,0,15,1,0,2,511.87834200000003,50,53,1,1
85,85,1,26,2,5,9,690.871422,51,53,1,1
86,86,2,18,2,10,1,439.0744231999999,52,53,1,1
87,87,0,0,1,0,24,398.6205303999999,50,53,1,1
88,88,0,3,1,0,3,423.7890936000001,50,53,1,1
89,89,0,22,1,0,9,666.3953012000001,50,53,1,1
90,90,0,23,1,0,10,532.3846783999999,50,53,1,1
91,91,4,26,0,0,26,466.50045759999966,50,51,1,1
92,92,1,7,1,0,1,553.4772056,51,53,1,1
93,93,0,7,1,0,20,301.7803424000001,50,53,1,1
94,94,0,2,0,0,2,328.36348079999993,50,52,1,1
95,95,1,3,1,0,3,494.5933584,51,53,1,1
96,96,0,3,0,0,3,300.10011040000006,50,52,1,1
97,97,1,2,1,0,1,411.00587520000187,51,53,1,1
98,98,3,30,0,0,4,331.58127519999994,53,51,1,1
99,99,3,30,0,0,4,235.8881708000001,53,51,1,1
100,100,0,4,1,0,3,391.6968847999996,50,53,1,1
101,101,1,4,1,0,2,499.5355311999999,51,53,1,1
102,102,0,7,1,0,2,541.9521039999998,50,52,1,1
103,103,2,7,1,0,0,412.5567816000001,48,53,1,1
104,104,2,4,1,0,2,362.391348,52,53,1,1
105,105,0,4,1,0,9,384.03159080000006,50,53,1,1
106,106,2,4,1,0,1,402.5602351999996,52,53,1,1
107,107,1,7,1,0,9,468.9196135999999,51,53,1,1
108,108,1,7,1,0,10,379.4961320000001,51,53,1,1
109,109,2,4,1,0,2,203.12815040000007,52,53,1,1
110,110,2,0,1,0,2,335.36819120000007,52,53,1,1
111,111,3,30,0,0,1,283.5559968,53,51,1,1
112,112,0,29,1,0,3,341.4347072000001,50,53,1,1
113,113,2,1,1,0,2,593.9007407999999,52,53,1,1
114,114,1,0,1,0,2,1357.6901728000003,51,53,1,1
115,115,1,7,1,0,1,287.8544328,51,53,1,1
