,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,0,1,1,0,-1,409.31196559999967,42,45,1,1
1,1,0,1,1,0,-1,106.1735376,42,45,1,1
2,2,2,1,1,0,-1,155.61416959999997,44,45,1,1
3,3,3,0,0,0,0,172.8618456,45,44,1,1
4,4,0,1,1,0,-1,247.05281760000008,42,45,1,1
5,5,1,1,1,0,5,204.440088,43,45,1,1
6,6,0,1,1,0,-1,298.5184016,42,45,1,1
7,7,1,1,1,0,-1,171.614682,43,45,1,1
8,8,2,4,1,0,-1,212.74450399999995,44,45,1,1
9,9,3,6,0,0,-1,202.5764872,45,44,1,1
10,10,0,1,1,0,0,254.91076560000005,42,45,1,1
11,11,0,1,1,0,3,325.552456,42,45,1,1
12,12,0,1,1,0,1,375.6171424,42,45,1,1
13,13,1,2,1,0,3,397.72025519999994,43,45,1,1
14,14,2,33,2,7,0,313.9422863999997,44,45,1,1
15,15,3,6,0,0,-1,286.78613439999964,45,44,1,1
16,16,0,2,1,0,13,281.92713919999994,42,45,1,1
17,17,1,0,1,0,1,422.5278075999999,43,45,1,1
18,18,0,1,1,0,3,312.32187999999996,42,45,1,1
19,19,1,2,1,0,9,543.6496276000001,43,45,1,1
20,20,0,1,1,0,3,297.11794879999997,42,45,1,1
21,21,3,32,0,0,3,198.76366160000097,45,43,1,1
22,22,0,2,1,0,10,247.05809959999996,42,45,1,1
23,23,1,1,1,0,8,306.5763984,43,45,1,1
24,24,0,1,1,0,0,264.02605200000005,42,45,1,1
25,25,1,4,1,0,-1,157.12815759999998,43,45,1,1
26,26,2,1,1,0,25,276.6522559999996,44,45,1,1
27,27,3,23,0,0,4,317.2995255999999,45,43,1,1
28,28,1,1,1,0,3,336.262128,43,45,1,1
29,29,2,6,1,0,2,384.44041759999993,44,45,1,1
30,30,0,1,1,0,0,287.2827536,42,45,1,1
31,31,1,2,1,0,3,353.0857983999999,43,45,1,1
32,32,2,1,1,0,3,488.63465080000003,44,45,1,1
33,33,0,1,1,0,7,258.0592824000001,42,45,1,1
34,34,1,0,1,0,7,285.62509520000003,43,45,1,1
35,35,1,2,1,0,1,250.0986412,43,45,1,1
36,36,3,0,0,0,24,309.1699159999991,45,44,1,1
37,37,2,1,1,0,7,251.201634,44,45,1,1
38,38,2,1,1,0,-1,254.8622267999991,44,45,1,1
39,39,0,1,1,0,1,216.42194359999996,42,45,1,1
40,40,0,2,1,0,3,299.2157367999997,42,45,1,1
41,41,2,1,1,0,23,292.32411680000007,44,45,1,1
42,42,1,3,0,0,3,472.1121100000001,43,44,1,1
43,43,1,3,1,0,8,545.9081551999999,43,45,1,1
44,44,0,1,1,0,7,440.4521355999999,42,45,1,1
45,45,0,1,1,0,4,236.57677679999972,42,45,1,1
46,46,0,1,1,0,3,220.42375360000003,42,45,1,1
47,47,0,0,1,0,0,628.2151704,42,45,1,1
48,48,0,1,1,0,8,280.36438999999905,42,45,1,1
49,49,1,11,0,0,11,217.47695360000003,43,44,1,1
50,50,0,2,1,0,7,226.81780919999798,42,45,1,1
51,51,0,1,1,0,9,264.1373632,42,45,1,1
52,52,1,1,1,0,-1,250.74799359999972,43,45,1,1
53,53,1,0,1,0,3,277.2773668000001,43,45,1,1
54,54,0,1,1,0,1,218.6742996,42,45,1,1
55,55,1,1,0,0,1,260.2235679999999,43,44,1,1
56,56,3,32,0,0,9,421.83764479999996,45,43,1,1
57,57,3,23,0,0,1,250.92491280000002,45,44,1,1
58,58,0,2,1,0,4,385.9658591999999,42,44,1,1
59,59,2,2,1,0,3,257.12581400000005,44,45,1,1
60,60,3,32,0,0,3,324.1138616,45,43,1,1
61,61,1,0,1,0,-1,147.99085359999995,43,45,1,1
62,62,0,4,1,0,-1,225.14497199999997,42,44,1,1
63,63,0,3,0,0,3,199.6817288,42,44,1,1
64,64,1,8,1,0,14,338.7467808,43,45,1,1
65,65,3,23,0,0,3,399.90377840000014,45,44,1,1
66,66,2,2,1,0,1,234.6509039999997,44,45,1,1
67,67,1,18,2,16,3,123.3968608,43,45,1,1
68,68,0,4,1,0,1,244.07388079999967,42,45,1,1
69,69,0,4,1,0,-1,487.41873439999983,42,45,1,1
70,70,0,4,1,0,1,303.1449888000001,42,45,1,1
71,71,1,4,1,0,1,179.31556,39,45,1,1
72,72,0,2,1,0,15,301.5923032000009,42,45,1,1
73,73,2,7,1,0,1,490.0676295999999,44,45,1,1
74,74,0,4,1,0,1,286.16352559999973,42,45,1,1
75,75,0,1,1,0,2,189.156370800001,42,45,1,1
76,76,2,1,1,0,4,399.5291455999997,44,45,1,1
77,77,1,1,1,0,25,262.82631520000297,43,45,1,1
78,78,0,2,1,0,-1,156.9958296,42,45,1,1
79,79,0,3,1,0,3,157.72841519999997,42,45,1,1
80,80,1,1,1,0,26,225.56564159999996,43,45,1,1
81,81,3,23,0,0,1,755.2989228,45,40,1,1
82,82,2,18,2,10,1,378.3066255999999,44,45,1,1
83,83,1,26,2,2,9,383.8907004,43,45,1,1
84,84,0,3,1,0,14,393.8087952,42,45,1,1
85,85,1,12,1,0,8,521.239714,43,45,1,1
86,86,2,3,1,0,3,291.17742239999967,44,45,1,1
87,87,0,1,1,0,0,246.2771975999997,42,44,1,1
88,88,0,1,1,0,2,258.34039600000006,42,44,1,1
89,89,0,1,1,0,1,489.7653323999999,42,44,1,1
90,90,1,1,1,0,10,443.4707152,43,45,1,1
