,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status,decision
0,0,2,0,1,0,-1,772.0435855999998,66,67,1,1
1,1,2,1,1,0,0,241.91682320000012,66,67,1,1
2,2,0,1,1,0,-1,294.230196,64,67,1,1
3,3,1,1,1,0,0,316.29594560000004,65,67,1,1
4,4,2,1,1,0,3,460.78372119999995,66,67,1,1
5,5,3,32,0,0,5,391.45168879999994,67,66,1,1
6,6,2,1,1,0,-1,573.1626080000002,66,67,1,1
7,7,3,21,0,0,7,371.6406304,67,66,1,1
8,8,0,1,1,0,-1,372.9311063999998,64,67,1,1
9,9,1,1,1,0,-1,432.6874287999999,65,67,1,1
10,10,2,2,1,0,0,522.3597759999999,66,67,1,1
11,11,2,0,1,0,3,749.5349264000002,66,67,1,1
12,12,2,1,1,0,0,616.0624559999997,66,67,1,1
13,13,3,32,0,0,3,865.6114912000004,67,66,1,1
14,14,0,1,1,0,0,534.7774799999997,64,67,1,1
15,15,1,0,1,0,0,488.76114079999957,65,67,1,1
16,16,2,26,2,19,0,480.6084015999997,66,67,1,1
17,17,3,32,0,0,1,837.8077104000002,67,66,1,1
18,18,2,1,1,0,0,588.0959896000002,62,67,1,1
19,19,3,32,0,0,9,1073.5063964000003,67,66,1,1
20,20,2,1,1,0,3,532.9622512,66,67,1,1
21,21,1,2,1,0,3,461.9121232000009,65,67,1,1
22,22,2,3,1,0,3,482.27167560000004,66,67,1,1
23,23,3,20,0,0,8,456.3779215999994,67,66,1,1
24,24,2,1,1,0,0,584.7755576,66,67,1,1
25,25,3,20,0,0,2,375.61525200000005,67,66,1,1
26,26,1,1,1,0,25,455.70593999999954,65,67,1,1
27,27,1,1,1,0,4,569.0285256000002,65,67,1,1
28,28,3,21,0,0,9,581.7414656,67,66,1,1
29,29,0,1,1,0,2,635.8161351999997,64,67,1,1
30,30,2,1,1,0,0,602.0056639999999,66,67,1,1
31,31,3,30,0,0,17,708.540268,67,66,1,1
32,32,0,1,1,0,3,968.1296068000001,64,67,1,1
33,33,2,1,1,0,2,470.14943000000017,66,67,1,1
34,34,3,30,0,0,3,458.52669480000014,67,66,1,1
