,Unnamed: 0,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
665,665,665,0,23,1,0,15,38,40,1
666,666,666,1,26,2,18,14,40,42,1
667,667,667,13,35,0,0,35,37,42,1
668,668,668,0,15,1,0,31,39,42,1
669,669,669,10,26,2,0,33,35,42,1
670,670,670,1,2,1,0,34,40,42,1
671,671,671,0,14,0,0,14,39,42,1
672,672,672,7,4,1,0,22,36,42,1
673,673,673,2,33,2,1,15,39,42,1
674,674,674,13,11,2,21,25,39,42,1
675,675,675,4,5,1,0,4,37,42,1
676,676,676,8,3,1,0,14,41,42,1
677,677,677,1,4,0,0,4,39,42,1
678,678,678,0,9,1,0,36,38,41,1
679,679,679,8,26,0,0,26,41,42,1
680,680,680,12,9,1,0,13,38,42,1
681,681,681,5,26,0,0,26,38,42,1
682,682,682,14,23,0,0,31,42,41,1
683,683,683,0,9,0,0,9,33,42,1
684,684,684,5,28,0,0,28,39,41,1
685,685,685,2,26,2,20,4,41,42,1
686,686,686,8,26,2,5,8,41,42,1
687,687,687,14,14,0,0,14,33,42,1
688,688,688,8,10,1,0,17,41,42,1
689,689,689,12,26,2,26,13,35,42,1
690,690,690,0,9,1,0,2,33,37,1
691,691,691,3,26,2,8,3,38,42,1
692,692,692,3,18,0,0,35,42,42,1
693,693,693,6,5,1,0,2,40,42,1
694,694,694,12,7,0,0,7,39,42,1
695,695,695,10,26,2,13,35,38,42,1
696,696,696,14,26,0,0,26,41,42,1
697,697,697,0,24,1,0,9,39,42,1
698,698,698,14,16,0,0,16,42,41,1
699,699,699,2,26,2,14,1,39,42,1
700,700,700,11,14,0,0,14,41,42,1
701,701,701,1,17,0,0,17,33,42,1
702,702,702,6,33,2,7,15,41,42,1
703,703,703,9,15,1,0,33,41,42,1
704,704,704,3,17,0,0,17,42,42,1
705,705,705,14,26,0,0,26,42,42,1
706,706,706,12,3,1,0,8,41,42,1
707,707,707,10,12,1,0,34,41,42,1
708,708,708,11,31,0,0,31,42,42,1
709,709,709,14,23,0,0,31,42,41,1
710,710,710,11,29,0,0,29,41,42,1
711,711,711,14,17,0,0,34,42,41,1
712,712,712,9,27,0,0,27,41,42,1
713,713,713,0,13,1,0,14,38,42,1
714,714,714,0,36,1,0,3,33,42,1
715,715,715,1,1,1,0,28,39,42,1
716,716,716,4,5,0,0,5,39,42,1
717,717,717,5,22,0,0,21,42,42,1
718,718,718,9,6,1,0,15,42,42,1
719,719,719,0,24,1,0,32,33,39,1
720,720,720,0,25,1,0,18,41,42,1
721,721,721,0,13,0,0,13,39,41,1
722,722,722,11,33,0,0,33,40,42,1
723,723,723,12,32,0,0,32,37,42,1
724,724,724,7,15,2,11,28,38,42,1
725,725,725,0,20,0,0,20,40,42,1
